循环次数,平均放电电压,平均放电温度,等压降放电时间（3.8V-3.5V）,容量
51,3.563327431,31.93791978,1583.187,1.790447621
52,3.559014621,31.6886866,1555.469,1.780343032
53,3.556694584,31.77912069,1554.813,1.77532877
54,3.555013985,32.13387337,1545.516,1.770262973
55,3.552637375,31.88943153,1527,1.760081062
56,3.547186025,31.81736328,1517.875,1.749647594
57,3.546814755,31.72316206,1498.484,1.749650075
58,3.544785017,31.95715065,1489.765,1.745028739
59,3.546521542,32.29917704,1489.39,1.739645746
60,3.540832548,32.12884295,1470.203,1.728564228
61,3.542992511,32.02113436,1461.531,1.723900325
62,3.536081117,31.85904886,1442.328,1.713978878
63,3.539243694,32.16100334,1442.547,1.7139702
64,3.534823706,32.10276049,1423.797,1.703652117
65,3.53664774,32.33880662,1433.828,1.704013747
66,3.535206284,32.21373015,1414.953,1.693571616
67,3.532985224,32.09949527,1386.297,1.687657736
68,3.532158561,32.11305439,1386.625,1.683074436
69,3.530837638,32.20371989,1376.953,1.677927014
70,3.529695844,32.23340826,1367.578,1.673206028
71,3.528181937,32.21216972,1367.204,1.667436721
72,3.526573018,32.21746402,1348.61,1.662266263
73,3.524502255,32.23410177,1339.5,1.657424307
74,3.522854841,32.22834398,1330.328,1.652538685
75,3.522282912,32.18331061,1320.531,1.647217463
76,3.518992382,32.17200142,1302.141,1.636413681
77,3.517784428,32.03316224,1292.312,1.636255431
78,3.521222606,32.50667189,1311.469,1.641119179
79,3.517222788,31.96103949,1283.703,1.631570079
80,3.512501086,31.79808267,1265.078,1.621213283
81,3.512961464,31.95802834,1264.875,1.616427321
82,3.51252041,32.4181317,1273.843,1.61582351
83,3.515145456,32.64044973,1265.078,1.61672418
84,3.513443179,32.56399373,1255.141,1.610865586
85,3.50970894,32.28305351,1245.422,1.600660337
86,3.504277147,32.06065237,1227.203,1.595917449
87,3.509207943,32.36526113,1227.078,1.596217952
88,3.509506492,32.68851871,1227,1.595806511
89,3.505203266,32.74773364,1217.656,1.590650782
90,3.528118235,32.50500517,1255.313,1.688821116
91,3.519590928,32.91993879,1273.656,1.625993828
92,3.514626037,32.94830586,1255.156,1.615743386
93,3.511549482,32.76906652,1245.797,1.605662676
94,3.510769869,32.59734425,1236.579,1.594974692
95,3.508044943,32.52349894,1217.688,1.590410244
96,3.507748081,32.57822883,1208.484,1.585351706
97,3.506667352,32.62728298,1208.141,1.579973715
98,3.506184392,32.65211571,1199.343,1.575218547
99,3.505100434,32.64767456,1189.422,1.569798485
100,3.505447919,32.69938792,1189.703,1.570256538
101,3.500074247,32.72457677,1180.485,1.565249874
102,3.501164716,32.7043403,1171.297,1.559633934
103,3.500407285,32.74051962,1170.844,1.564982053
104,3.507816455,33.38712825,1199.468,1.5749795
105,3.502524399,33.27062734,1180.265,1.565281117
106,3.505155823,33.11507414,1161.407,1.559755497
107,3.498364648,32.90572814,1161.437,1.549897686
108,3.500140844,32.95311265,1151.718,1.543877153
109,3.49909547,33.22821092,1152.766,1.545018749
110,3.501035761,33.36134259,1143.109,1.544594015
111,3.497212316,33.12431679,1133.797,1.534308672
112,3.496089958,32.99155359,1123.813,1.528760394
113,3.495877119,33.23183188,1133.016,1.528926025
114,3.493116071,33.50981239,1123.75,1.52909165
115,3.492655946,33.38240285,1114.89,1.523905932
116,3.492088245,33.17829959,1114.813,1.518667542
117,3.490216477,33.01591345,1096.344,1.513648227
118,3.490593196,33.27100036,1105.453,1.513605019
119,3.491141937,33.61966968,1096.375,1.513947061
120,3.492836452,33.29697163,1124.422,1.533959919
121,3.502515752,33.39313087,1133.547,1.53913728
122,3.492953566,33.1382071,1114.781,1.523624797
123,3.491746264,32.84069779,1096.453,1.513581304
124,3.490432264,32.75739656,1095.515,1.507785075
125,3.488861417,32.77234087,1087.078,1.503196068
126,3.48919321,32.72041756,1077.485,1.49782206
127,3.487878571,32.7100228,1077.359,1.492848535
128,3.486430546,32.6207676,1058.203,1.49241439
129,3.481257278,32.57651826,1048.766,1.487482777
130,3.482355079,32.58396495,1058.578,1.482535149
131,3.483507429,32.62374267,1049.063,1.482787432
132,3.478976542,32.58599202,1039.704,1.47697118
133,3.483501191,32.86454472,1058.422,1.481901555
134,3.489970199,33.0796511,1068.047,1.49813662
135,3.484801139,32.93214165,1058.063,1.482077521
136,3.47835438,32.755748,1039.532,1.477115531
137,3.475694934,32.52965475,1030.328,1.472077278
138,3.481431873,32.8480652,1040.047,1.472248014
139,3.479606034,33.07232706,1030.75,1.467010667
140,3.478225897,32.85096452,1021.078,1.46176725
141,3.474323387,32.57230233,1011.891,1.456695267
142,3.473730545,32.45068444,1002.265,1.451354973
143,3.474812723,32.73943594,1002.234,1.451615926
144,3.476096427,32.77589824,1002.375,1.446816133
145,3.468682253,32.5817324,993.219,1.446757061
146,3.46619647,32.35021153,992.672,1.441379748
147,3.468183424,32.28754241,983.578,1.436245625
148,3.467860663,32.60323918,983.813,1.436815415
149,3.466249955,32.61208344,983.672,1.436294515
150,3.462469269,32.26742657,993.125,1.441857532
151,3.480518309,32.6377337,1011.625,1.467206348
152,3.472313799,32.66525872,1002.235,1.451864037
153,3.474362109,32.50265263,993.078,1.447137975
154,3.472282321,32.44684209,983.625,1.441790587
155,3.47017619,32.39361893,974.672,1.431630948
156,3.463501112,32.41722178,965.234,1.431808425
157,3.4674531,32.4009404,965.078,1.426256259
158,3.467586473,32.36314242,964.875,1.426087753
159,3.462182536,32.38260071,955.484,1.421263351
160,3.465962999,32.4323818,955.532,1.416327275
161,3.460172751,32.4886183,946.094,1.416578183
162,3.464226115,32.52406238,946.219,1.410840173
163,3.458799193,32.48261597,945.781,1.410994963
164,3.46208055,32.46389583,946.094,1.406171429
165,3.457878295,32.55681405,936.735,1.406335848
166,3.461590937,32.57629643,927.063,1.40045524
167,3.462906231,32.8180488,964.828,1.421786505
168,3.475358043,32.92941193,965.11,1.432455272
