循环次数,平均放电电压,平均放电温度,等压降放电时间,容量
145,3.472288482,33.39452017,852.5,1.328644431
146,3.471373665,33.16734508,842.984,1.323170899
147,3.472616016,33.10962162,843.172,1.318169159
148,3.473814687,33.46501751,843.078,1.318466444
149,3.470142649,33.4426191,833.75,1.31829304
150,3.467523652,33.03792817,843.188,1.323872422
151,3.476752584,33.49494936,880.578,1.360121677
152,3.475895683,33.49136303,861.516,1.339530687
153,3.47581218,33.3298086,852.438,1.329028657
154,3.47465544,33.27302769,852.515,1.323674127
155,3.472301781,33.22987913,833.984,1.318633897
156,3.472930577,33.20860834,834.109,1.313475132
157,3.469619203,33.23611506,833.703,1.313202063
158,3.470018471,33.18660088,824.375,1.307795995
159,3.470762692,33.1740581,815.031,1.303032919
160,3.468111467,33.25398452,815.125,1.303357356
161,3.464862578,33.31980932,814.766,1.303410044
162,3.467864134,33.33765795,805.687,1.297887081
163,3.464021405,33.29076744,805.406,1.298073506
164,3.466462386,33.27568842,805.656,1.293463614
165,3.468509067,33.32067807,796.281,1.288003393
166,3.466806213,33.37314973,795.937,1.287452522
167,3.471070722,33.7135189,824.375,1.309015364
168,3.475472204,33.86531768,843.109,1.325079329
