循环次数,平均放电电压,平均放电温度,等压降放电时间,容量
151,3.419548928,33.78417037,618.313,1.289804877
152,3.41517999,33.80643956,589.984,1.263540202
153,3.415459493,33.63735785,571.484,1.247976171
154,3.413033646,33.58195934,562.172,1.232120288
155,3.409452436,33.56245584,552.547,1.227113767
156,3.413849601,33.51112675,543.719,1.221739758
157,3.410900672,33.53675907,533.578,1.211102679
158,3.410574414,33.4980307,533.828,1.205615977
159,3.409651425,33.51697726,524.641,1.200893626
160,3.412857837,33.53192327,515.516,1.190590399
161,3.413450902,33.56763617,514.906,1.185179251
162,3.414388188,33.60493097,505.875,1.179670682
163,3.412419039,33.54281441,496.516,1.174595284
164,3.414810306,33.47245936,487.14,1.153818332
165,3.416617733,33.5821039,487.36,1.164400956
166,3.412134154,33.66346051,487.016,1.158797495
167,3.419700178,33.73054607,515.25,1.174974883
168,3.423468774,33.89128224,533.953,1.185675233
